Wall time,Step,Value
1714685009.8133814,49,0.0
1714685439.589511,99,0.0
1714685866.2556272,149,0.0
1714686248.6582696,186,0.0
1714686255.1203988,186,0.0
1714686281.0297303,199,1.0
1714686373.887158,249,1.0
1714686466.8990304,299,1.0
1714686560.0547957,349,1.0
1714686614.4325686,373,1.0
1714686627.7972553,373,1.0
1714686677.4710424,399,2.0
1714686770.1901202,449,2.0
1714686863.3134775,499,2.0
1714686956.4338498,549,2.0
1714686985.9623027,560,2.0
1714687000.6096237,560,2.0
1714732190.4166138,49,0.0
1714732623.1065068,99,0.0
1714732735.0110834,104,0.0
1714732746.4046733,104,0.0
1714732828.3385828,149,1.0
1714732917.4069502,199,1.0
1714732944.4651282,209,1.0
1714732951.0787048,209,1.0
1714733024.1663103,249,2.0
1714733113.1718361,299,2.0
1714733149.4419587,314,2.0
1714733155.745366,314,2.0
1714733219.9733357,349,3.0
1714733309.1269739,399,3.0
1714733354.0315545,419,3.0
1714733368.2080278,419,3.0
1714733423.2915022,449,4.0
1714733512.379056,499,4.0
1714733566.5918856,524,4.0
1714733572.9026096,524,4.0
1714733619.3017273,549,5.0
1714733708.281173,599,5.0
1714733771.1372578,629,5.0
1714733777.8982832,629,5.0
1714733814.9682727,649,6.0
1714733904.2236414,699,6.0
1714733975.8638496,734,6.0
1714733981.9857051,734,6.0
1714734009.890842,749,7.0
1714734099.0972748,799,7.0
1714734180.3363376,839,7.0
1714734191.2109919,839,7.0
1714734209.803633,849,8.0
1714734299.9462926,899,8.0
1714734389.2378018,944,8.0
1714734395.9189959,944,8.0
1714734405.5394337,949,9.0
1714734496.0392718,999,9.0
1714734584.6694117,1049,9.0
1714734594.717355,1049,9.0
1714734601.1436687,1049,9.0
